pt,charge,rp,phi,eta,calo_energy,Particle_Type,pos,pos_1,dir_1,pos_2,dir_2,detid,front_1,front_2,front_3,front_4,back_1,back_2,back_3,back_4,Error,et,theta,px,py,pz,isolationPFChargedHadrCandsPtSum,isolationPFGammaCandsEtSum,maximumHCALPFClusterEt,emFraction,hcalTotOverPLead,hcalMaxOverPLead,hcal3x3OverPLead,ecalStripSumEOverPLead,bremsRecoveryEOverPLead,electronPreIDOutput,electronPreIDDecision,hasMuonReference,caloComp,segComp,muonDecision,energy,hadronicOverEm,hadronicDepth1OverEcal,hadronicDepth2OverEcal,e1x5,e2x5,e3x3,e5x5,maxEnergyXtal,sigmaEtaEta,sigmaIetaIeta,r1x5,r2x5,r9,ecalRecHitSumEtConeDR04,hcalTowerSumEtConeDR04,hcalDepth1TowerSumEtConeDR04,hcalDepth2TowerSumEtConeDR04,trkSumPtSolidConeConeDR04,trkSumPtHollowConeDR04,nTrkSolidConeDR04,nTrkHollowConeDR04,ecalRecHitSumEtDR03,hcalTowerSumEtDR03,hcalDepth1TowerSumEtDR03,hcalDepth2TowerSumEtDR03,trkSumPtSolidConeDR03,trkSumPtHollowConeDR03,nTrkSolidConeDR03,nTrkHollowConeDR03,dir,Name,Index,WasRun,Accept,Objects,path,slot,moduleLabel,moduleType,VID,KEY,id,mass
,,,,,,Extras,,"[0.000899814, 0.00073602, -0.0214372]","[0.561284, -1.23079, 1.5703]","[1.0742, -0.687237, 1.54536]","[1.32041, 0.00608635, 1.5385]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000664083, 0.000612598, 0.0765927]","[0.432503, -0.735608, 0.451236]","[-0.634881, -1.10594, 0.899907]","[-0.818886, 0.0155261, 0.437358]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000691547, 0.000643418, -0.05]","[0.783853, -1.37842, 0.764202]","[0.0474082, -1.27434, 0.596506]","[-0.671604, -1.40594, 0.761325]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000647796, 0.0006193, -0.0344279]","[0.838096, -1.61712, -1.69456]","[0.992601, -0.800587, -1.25748]","[1.72413, -0.466633, -1.66714]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000717005, 0.000657636, -0.0342694]","[1.13562, -1.75176, -4.41678]","[0.281704, -1.24372, -2.79473]","[-0.254902, -2.03947, -4.36773]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000873061, 0.0007389, 0.0758592]","[0.591922, -0.97331, -4.37407]","[0.67553, -0.462378, -3.16813]","[1.05302, -0.205343, -4.14808]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000789903, 0.000719267, 0.0770182]","[0.78065, -0.781767, -3.17691]","[0.219512, -1.04082, -3.16813]","[-0.359231, -0.961754, -2.98624]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000644665, 0.000526283, 0.00167736]","[0.826147, -0.403585, -0.533165]","[0.216673, -1.25668, -0.875843]","[-0.62225, -0.618518, -0.518615]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000692639, 0.000635662, -0.0541411]","[1.02488, -0.301398, -1.17796]","[0.628906, -1.10935, -1.62649]","[-0.261036, -0.990594, -1.14826]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000735092, 0.000741151, -0.0211444]","[0.729018, -0.269571, -0.0596386]","[0.784141, 1.00563, -0.142622]","[-0.43571, 0.609997, -0.0537713]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000701026, 0.00066321, -0.0343989]","[1.4362, -0.247492, -0.790577]","[0.97668, -0.819934, -0.763491]","[0.474024, -1.34271, -0.778062]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000710291, 0.000650069, 0.0766068]","[2.11747, -0.0257124, 0.987527]","[1.20206, 0.425734, 0.681971]","[1.61052, 1.33735, 0.974432]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000699831, 0.000723014, 0.0765245]","[1.36079, 0.16881, -3.06501]","[1.15978, -0.530183, -2.92911]","[0.7318, -1.09752, -2.97022]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000709731, 0.000582727, -0.0342952]","[2.74431, 0.516789, 1.63499]","[1.14774, 0.555774, 0.718843]","[2.0814, 1.81578, 1.61201]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000671816, 0.000733933, -0.0309129]","[0.81165, 0.242222, -0.145081]","[0.918736, -0.884369, -0.293932]","[-0.216142, -0.792755, -0.139955]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000671585, 0.000744416, 0.0765976]","[0.845445, 0.311487, -0.568269]","[0.320585, 1.23426, -0.868134]","[-0.574251, 0.648997, -0.547211]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000668856, 0.000697924, -0.0542462]","[0.703856, 0.366769, -1.3635]","[-0.0966799, 1.27155, -2.87437]","[-0.708451, 0.23887, -1.33414]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000706459, 0.000630406, -0.034363]","[1.0354, 0.592782, -0.854357]","[0.475997, 1.18305, -1.02854]","[-0.328406, 1.10735, -0.838711]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000747215, 0.000565584, -0.0130718]","[0.886676, 0.529049, 1.39414]","[0.313333, 1.23613, 1.8912]","[-0.511296, 0.84328, 1.3386]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000751696, 0.000571348, -0.0310741]","[1.04339, 0.755101, 0.403935]","[1.275, 0.0237669, 0.402793]","[1.03057, -0.706569, 0.400745]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
