pt,charge,rp,phi,eta,calo_energy,Particle_Type,pos,pos_1,dir_1,pos_2,dir_2,detid,front_1,front_2,front_3,front_4,back_1,back_2,back_3,back_4,Error,et,theta,px,py,pz,isolationPFChargedHadrCandsPtSum,isolationPFGammaCandsEtSum,maximumHCALPFClusterEt,emFraction,hcalTotOverPLead,hcalMaxOverPLead,hcal3x3OverPLead,ecalStripSumEOverPLead,bremsRecoveryEOverPLead,electronPreIDOutput,electronPreIDDecision,hasMuonReference,caloComp,segComp,muonDecision,energy,hadronicOverEm,hadronicDepth1OverEcal,hadronicDepth2OverEcal,e1x5,e2x5,e3x3,e5x5,maxEnergyXtal,sigmaEtaEta,sigmaIetaIeta,r1x5,r2x5,r9,ecalRecHitSumEtConeDR04,hcalTowerSumEtConeDR04,hcalDepth1TowerSumEtConeDR04,hcalDepth2TowerSumEtConeDR04,trkSumPtSolidConeConeDR04,trkSumPtHollowConeDR04,nTrkSolidConeDR04,nTrkHollowConeDR04,ecalRecHitSumEtDR03,hcalTowerSumEtDR03,hcalDepth1TowerSumEtDR03,hcalDepth2TowerSumEtDR03,trkSumPtSolidConeDR03,trkSumPtHollowConeDR03,nTrkSolidConeDR03,nTrkHollowConeDR03,dir,Name,Index,WasRun,Accept,Objects,path,slot,moduleLabel,moduleType,VID,KEY,id,mass
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Ele17_CaloIdVT_CaloIsoVT_TrkIdT_TrkIsoVT_Ele8_Mass50_v6,240.0,1.0,0.0,-83/127 -82/131 82/12 ,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Ele20_CaloIdVT_CaloIsoVT_TrkIdT_TrkIsoVT_SC4_Mass50_v6,241.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Ele22_CaloIdL_CaloIsoVL_v6,242.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Ele27_CaloIdL_CaloIsoVL_TrkIdVL_TrkIsoVL_v11,243.0,1.0,0.0,-82/131 ,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Ele27_CaloIdT_CaloIsoVL_TrkIdVL_TrkIsoVL_Ele15_CaloIdT_CaloIsoVL_trackless_v7,244.0,1.0,0.0,-82/131 82/12 82/13 ,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Ele27_CaloIdT_CaloIsoVL_TrkIdVL_TrkIsoVL_HFT15_v7,245.0,1.0,0.0,-82/131 82/12 82/13 ,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Ele23_CaloIdT_CaloIsoVL_TrkIdVL_TrkIsoVL_HFT30_v7,246.0,1.0,0.0,-82/131 82/12 82/13 ,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Ele25_CaloIdVT_CaloIsoVL_TrkIdVL_TrkIsoT_TriCentralPFNoPUJet30_v3,247.0,1.0,0.0,-82/131 82/16 0/277 ,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Ele25_CaloIdVT_CaloIsoVL_TrkIdVL_TrkIsoT_TriCentralPFNoPUJet45_35_25_v1,248.0,1.0,0.0,-82/131 82/16 0/277 ,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Ele25_CaloIdVT_CaloIsoVL_TrkIdVL_TrkIsoT_TriCentralPFNoPUJet50_40_30_v3,249.0,1.0,0.0,-82/131 82/16 0/277 ,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Ele27_WP80_v11,250.0,1.0,1.0,-82/131 82/6 ,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Ele27_WP80_PFMET_MT50_v6,251.0,1.0,0.0,-82/131 82/6 ,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Ele30_CaloIdVT_TrkIdT_v6,252.0,1.0,0.0,-82/131 ,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Ele32_CaloIdL_CaloIsoVL_TrkIdVL_TrkIsoVL_v11,253.0,1.0,0.0,-82/131 ,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Ele32_CaloIdT_CaloIsoT_TrkIdT_TrkIsoT_SC17_Mass50_v6,254.0,1.0,0.0,-82/131 92/0 82/16 ,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Ele80_CaloIdVT_GsfTrkIdT_v2,255.0,1.0,0.0,-82/131 ,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Ele90_CaloIdVT_GsfTrkIdT_v2,256.0,1.0,0.0,-82/131 ,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_DoubleEle8_CaloIdT_TrkIdVL_v12,257.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_DoubleEle33_CaloIdL_v14,258.0,1.0,0.0,-82/131 ,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_DoubleEle33_CaloIdL_GsfTrkIdVL_v7,259.0,1.0,0.0,-82/131 92/0 ,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_DoubleEle33_CaloIdT_v10,260.0,1.0,0.0,-82/131 92/0 ,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Ele15_Ele8_Ele5_CaloIdL_TrkIdVL_v6,261.0,1.0,1.0,-83/127 -83/128 -82/131 82/16 82/17 82/18 ,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_LooseIsoPFTau35_Trk20_Prong1_v9,262.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_LooseIsoPFTau35_Trk20_Prong1_MET70_v9,263.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_LooseIsoPFTau35_Trk20_Prong1_MET75_v9,264.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_IsoMu15_eta2p1_LooseIsoPFTau35_Trk20_Prong1_L1ETM20_v9,265.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_DoubleMediumIsoPFTau30_Trk1_eta2p1_Jet30_v4,266.0,1.0,0.0,-84/133 -86/135 84/119 84/120 85/19 85/20 85/21 85/19 85/20 85/21 84/119 84/120 84/121 ,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_DoubleMediumIsoPFTau30_Trk1_eta2p1_v3,267.0,1.0,0.0,-84/133 -86/135 ,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_DoubleMediumIsoPFTau35_Trk1_eta2p1_Prong1_v3,268.0,1.0,0.0,-84/133 -86/135 84/119 84/120 84/119 84/120 84/121 ,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_DoubleMediumIsoPFTau35_Trk1_eta2p1_v3,269.0,1.0,0.0,-84/133 -86/135 84/119 84/120 84/119 84/120 84/121 ,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_IsoMu18_eta2p1_MediumIsoPFTau25_Trk1_eta2p1_v3,270.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_BTagMu_DiJet20_Mu5_v6,271.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_BTagMu_DiJet40_Mu5_v6,272.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_BTagMu_DiJet70_Mu5_v6,273.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_BTagMu_DiJet110_Mu5_v6,274.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_BTagMu_Jet300_Mu5_v6,275.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Mu7_Ele7_CaloIdT_CaloIsoVL_v7,276.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Mu8_Ele17_CaloIdT_CaloIsoVL_TrkIdVL_TrkIsoVL_v9,277.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Mu8_DiJet30_v7,278.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Mu8_TriJet30_v7,279.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Mu8_QuadJet30_v7,280.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_IsoMu12_DoubleCentralJet65_v4,281.0,1.0,0.0,-84/133 -86/135 ,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Mu15_eta2p1_L1ETM20_v5,282.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Mu24_PFJet30_PFJet25_Deta3_CentralPFJet25_v3,283.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Mu24_CentralPFJet30_CentralPFJet25_v3,284.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_IsoMu24_PFJet30_PFJet25_Deta3_CentralPFJet25_v3,285.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_IsoMu24_CentralPFJet30_CentralPFJet25_v3,286.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_IsoMu24_CentralPFJet30_CentralPFJet25_PFMET20_v3,287.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Ele32_WP80_PFJet30_PFJet25_Deta3_v3,288.0,1.0,0.0,-82/131 ,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Ele32_WP80_PFJet30_PFJet25_Deta3_CentralPFJet30_v3,289.0,1.0,0.0,-82/131 82/9 ,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Ele32_WP80_CentralPFJet35_CentralPFJet25_v3,290.0,1.0,0.0,-82/131 82/9 85/143 85/143 ,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Ele32_WP80_CentralPFJet35_CentralPFJet25_PFMET20_v3,291.0,1.0,0.0,-82/131 82/9 85/143 85/143 ,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_IsoMu17_eta2p1_CentralPFNoPUJet30_BTagIPIter_v3,292.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_IsoMu17_eta2p1_CentralPFNoPUJet30_v3,293.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_IsoMu17_eta2p1_DiCentralPFNoPUJet30_v3,294.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_IsoMu17_eta2p1_TriCentralPFNoPUJet45_35_25_v1,295.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_IsoMu17_eta2p1_TriCentralPFNoPUJet30_v3,296.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Mu17_eta2p1_CentralPFNoPUJet30_BTagIPIter_v3,297.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Mu17_eta2p1_TriCentralPFNoPUJet45_35_25_v1,298.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_IsoMu20_WCandPt80_v3,299.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Mu17_Ele8_CaloIdT_CaloIsoVL_TrkIdVL_TrkIsoVL_v9,300.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Mu12_eta2p1_DiCentral_40_20_DiBTagIP3D1stTrack_v7,301.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Mu12_eta2p1_DiCentral_40_20_BTagIP3D1stTrack_v7,302.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Mu12_eta2p1_DiCentral_40_20_v7,303.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Mu12_eta2p1_DiCentral_20_v7,304.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Mu15_eta2p1_TriCentral_40_20_20_DiBTagIP3D1stTrack_v7,305.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Mu15_eta2p1_TriCentral_40_20_20_BTagIP3D1stTrack_v7,306.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Mu15_eta2p1_TriCentral_40_20_20_v7,307.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Mu30_Ele30_CaloIdL_v8,308.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_IsoMu17_eta2p1_DiCentralPFNoPUJet30_PFNoPUHT350_PFMHT40_v2,309.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_IsoMu20_eta2p1_CentralPFJet80_v8,310.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_DoubleRelIso1p0Mu5_Mass8_PFNoPUHT175_v3,311.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_DoubleRelIso1p0Mu5_Mass8_PFNoPUHT225_v3,312.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_DoubleMu8_Mass8_PFNoPUHT175_v3,313.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_DoubleMu8_Mass8_PFNoPUHT225_v3,314.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_RelIso1p0Mu5_Ele8_CaloIdT_TrkIdVL_Mass8_PFNoPUHT175_v3,315.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_RelIso1p0Mu5_Ele8_CaloIdT_TrkIdVL_Mass8_PFNoPUHT225_v3,316.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Mu8_Ele8_CaloIdT_TrkIdVL_Mass8_PFNoPUHT175_v3,317.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Mu8_Ele8_CaloIdT_TrkIdVL_Mass8_PFNoPUHT225_v3,318.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_PFNoPUHT350_Mu15_PFMET45_v3,319.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_PFNoPUHT350_Mu15_PFMET50_v3,320.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_PFNoPUHT400_Mu5_PFMET45_v3,321.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_PFNoPUHT400_Mu5_PFMET50_v3,322.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Mu40_PFNoPUHT350_v3,323.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Mu60_PFNoPUHT350_v3,324.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_DoubleMu5_Ele8_CaloIdT_TrkIdVL_v16,325.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_DoubleMu8_Ele8_CaloIdT_TrkIdVL_v5,326.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Ele8_CaloIdT_CaloIsoVL_TrkIdVL_TrkIsoVL_Jet30_v7,327.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Ele8_CaloIdT_TrkIdT_DiJet30_v18,328.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Ele8_CaloIdT_TrkIdT_TriJet30_v18,329.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Ele8_CaloIdT_TrkIdT_QuadJet30_v18,330.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Ele17_CaloIdT_CaloIsoVL_TrkIdVL_TrkIsoVL_Jet30_v7,331.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Ele25_CaloIdVT_CaloIsoT_TrkIdT_TrkIsoT_CentralPFNoPUJet30_v7,332.0,1.0,0.0,-82/131 ,,,,,,,,
